,DiskUsage,TotalCpus,TotalMemory,TotalDisk,CpuCacheSize,TotalVirtualMemory,GLIDEIN_Job_Max_Time,TotalSlots,CpuIsBusy,SlotType,Failure,Site
83666,1748589,2,8000,475787260,512,793846096,34800,3,1,0,0,RAL
83671,1041172,64,122000,669996088,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83678,12304863,56,192000,149550700,39424,196111708,7200,15,0,0,0,TACC-Frontera
83680,537398,128,248000,371398164,512,353623144,7200,32,0,0,0,Purdue-Anvil
83682,188497,64,122000,669995284,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83687,930167,8,32768,6198398440,512,593279816,34800,5,1,0,1,Manchester
83688,3980155,56,192000,149545288,39424,196111708,7200,15,0,0,0,TACC-Frontera
83699,221819,128,248000,371393268,512,356252776,7200,31,0,0,0,Purdue-Anvil
83720,61033,64,122000,669995208,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83730,291341,56,192000,149545428,39424,196111708,7200,15,0,0,0,TACC-Frontera
83731,2308776,56,192000,149549920,39424,196111704,7200,15,0,0,0,TACC-Frontera
83746,6168492,8,32768,13886498728,512,593238008,34800,9,1,0,1,Manchester
83748,185516,4,10000,1687630304,14080,135642252,34800,5,1,0,1,CCIN2P3
83753,1325721,4,30000,5946708116,512,500686884,34800,5,1,0,1,SURFsara
83754,325100,64,122000,669995716,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83761,2729100,128,248000,911383112,512,263689916,7200,32,0,0,0,SDSC-Expanse
83762,831757,8,24576,7550798936,20480,263868648,34800,9,1,0,0,SGrid
83770,544818,8,32768,14097671724,512,594309592,34800,9,1,0,1,Manchester
83771,697,1,4096,3304988736,512,594565752,34800,1,1,1,1,NIKHEF
83774,4527083,128,248000,371396440,512,356436068,7200,32,0,0,0,Purdue-Anvil
83788,221796,64,122000,669995964,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83793,1405309,8,20240,1313154152,512,527490920,34800,9,1,0,1,CERN
83800,84583,64,122000,669989584,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83801,472651,8,32768,13989084120,512,593629968,34800,4,1,0,1,Manchester
83819,21324,128,248000,911383068,512,263689912,7200,32,1,0,0,SDSC-Expanse
83820,258919,64,122000,669995560,40960,131890088,7200,14,0,0,0,T3_US_NERSC
83825,55927,56,192000,149529296,39424,196111708,7200,14,1,0,0,TACC-Frontera
83841,2094124,8,20000,1019526656,35840,135421608,34800,9,1,0,0,Bristol
83842,2218059,2,8000,1294197452,512,795740196,34800,3,1,0,0,RAL
83843,8947872,48,192000,149631844,33792,196453564,7200,13,0,0,0,TACC-Stampede2
83844,1908624,2,8000,1673899188,512,793820200,34800,3,1,0,1,RAL
83845,2361450,4,16000,775608448,36608,429069732,34800,5,1,0,1,London_QMUL
83846,2313069,1,4096,3335156764,512,593029520,34800,1,1,1,1,NIKHEF
83851,12678356,8,20240,1705680976,20480,66464472,34800,5,1,0,1,London_Brunel
83853,2243632,1,2500,854430784,25344,102199236,32400,1,1,1,1,Michigan
83854,263222,128,248000,371398444,512,353517928,7200,32,0,0,0,Purdue-Anvil
83857,602484,128,248000,371398188,512,357436260,7200,32,1,0,0,Purdue-Anvil
83865,2252856,8,32768,6206548176,512,594489416,34800,4,1,0,1,Manchester
83869,1867936,56,192000,149540500,39424,196111704,7200,15,0,0,0,TACC-Frontera
83882,953862,4,8192,384220772,12288,28134692,34800,5,0,0,1,London
83886,155459,64,122000,669995364,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83891,71045,64,122000,669995248,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83895,28225,64,122000,669995328,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83899,188054,64,122000,669995232,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83905,21132,64,122000,669995808,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83906,22078,128,248000,911383280,512,263689912,7200,32,1,0,0,SDSC-Expanse
83913,93035,128,248000,911383720,512,263689912,7200,32,1,0,0,SDSC-Expanse
83917,4171248,256,510000,1340088692,512,527683920,7200,65,1,0,0,NERSC-Perlmutter-CPU
83925,29597,128,248000,371398372,512,352886884,7200,32,1,0,0,Purdue-Anvil
83928,185312,8,16384,3120090224,512,329305804,34800,9,1,0,1,PIC
83930,3106043,8,20240,1297386580,512,527524696,34800,7,1,0,0,CERN
83931,2215580,4,16000,765491908,36608,426883720,34800,5,1,0,0,London_QMUL
83935,2318214,48,192000,149575612,33792,196453560,7200,13,0,0,0,TACC-Stampede2
83936,2128724,2,8000,1457058840,512,795506472,34800,3,1,0,0,RAL
83941,1042880,64,122000,669996088,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83948,435792,56,192000,149500796,39424,196111708,7200,15,0,0,0,TACC-Frontera
83950,221998,128,248000,371398304,512,353276516,7200,32,0,0,0,Purdue-Anvil
83952,223028,64,122000,669995264,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83958,83756,56,192000,149544612,39424,196111700,7200,15,0,0,0,TACC-Frontera
83969,222194,128,248000,371393268,512,356252776,7200,31,0,0,0,Purdue-Anvil
83971,54065,64,122000,669995520,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83990,39233,64,122000,669995248,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84000,26566,56,192000,149531988,39424,196111704,7200,15,0,0,0,TACC-Frontera
84001,2309669,56,192000,149533804,39424,196111704,7200,15,0,0,0,TACC-Frontera
84010,67905,64,122000,669986104,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84015,123201,8,20240,2920131108,22528,391477488,34800,5,1,0,1,CERN
84016,5760794,8,32768,13935376216,512,594151976,34800,9,1,0,1,Manchester
84018,186007,4,10000,1696988604,14080,135667928,34800,5,1,0,1,CCIN2P3
84021,186445,8,20000,1023966812,512,268486188,34800,9,1,0,1,Bristol
84023,1231252,4,30000,5724915600,512,500686884,34800,5,1,0,1,SURFsara
84024,479904,64,122000,669995916,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84029,2912921,8,20480,3138874188,512,594790344,34800,6,1,0,1,FZU
84031,2806886,128,248000,911383112,512,263689916,7200,32,0,0,0,SDSC-Expanse
84044,207895,128,248000,371397380,512,353679464,7200,32,0,0,0,Purdue-Anvil
84048,42708,64,122000,669995564,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84058,460373,64,122000,669995284,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84063,766335,8,20240,1193490504,512,526749280,34800,9,1,0,1,CERN
84070,42482,64,122000,669995224,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84088,519056,8,32768,6369065396,512,594883144,34800,9,1,0,1,Manchester
84089,33822,128,248000,911383156,512,263689912,7200,32,0,0,0,SDSC-Expanse
84090,9408518,64,122000,669971284,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84095,303048,56,192000,149517932,39424,196111704,7200,14,0,0,0,TACC-Frontera
84111,687,8,20000,1019526656,35840,135421608,34800,9,1,0,0,Bristol
84112,1313035,2,8000,861989896,512,794461476,34800,3,1,0,0,RAL
84113,2318284,48,192000,149575044,33792,196453572,7200,13,0,0,0,TACC-Stampede2
84114,1741703,2,8000,637791384,512,795288104,34800,3,1,0,0,RAL
84115,1443279,4,16000,773955348,36608,429069732,34800,5,1,0,1,London_QMUL
84116,1649896,1,4096,2580063968,28160,460116664,34800,1,1,1,0,NIKHEF
84119,1579805,2,8000,363400452,512,795912016,34800,2,1,0,0,RAL
